Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
LogReg_3-mer,0.1,levenshtein_sequence_based,0.76,0.026,0.178,0.124,0.321,0.127,0.298,0.134,0.353,0.118,0.222,0.089,0.594,0.061,0.351,0.119
kSVC_3-mer,0.1,levenshtein_sequence_based,0.84,0.035,0.154,0.082,0.13,0.08,0.533,0.154,0.077,0.051,0.197,0.058,0.533,0.023,0.319,0.135
LogReg_3-mer,0.1,random_split,0.805,0.016,0.422,0.056,0.533,0.044,0.464,0.033,0.628,0.064,0.36,0.038,0.736,0.034,0.564,0.052
kSVC_3-mer,0.1,random_split,0.906,0.009,0.648,0.039,0.667,0.031,0.907,0.05,0.528,0.024,0.564,0.041,0.758,0.015,0.696,0.026
RF_3-mer,0.1,levenshtein_sequence_based,0.835,0.04,0.013,0.051,0.008,0.011,0.229,0.39,0.004,0.006,0.166,0.038,0.501,0.003,0.322,0.179
GBoost_3-mer,0.1,levenshtein_sequence_based,0.84,0.028,0.172,0.196,0.205,0.178,0.393,0.321,0.141,0.124,0.233,0.103,0.558,0.062,0.311,0.169
RF_3-mer,0.1,random_split,0.908,0.008,0.654,0.033,0.68,0.025,0.888,0.044,0.552,0.018,0.57,0.035,0.768,0.012,0.726,0.027
GBoost_3-mer,0.1,random_split,0.902,0.009,0.634,0.033,0.67,0.027,0.839,0.047,0.559,0.028,0.548,0.034,0.768,0.014,0.709,0.029
LogReg_Antiberty,0.1,levenshtein_sequence_based,0.74,0.064,0.166,0.157,0.317,0.127,0.274,0.112,0.383,0.157,0.222,0.067,0.596,0.086,0.321,0.142
kSVC_Antiberty,0.1,levenshtein_sequence_based,0.752,0.087,0.123,0.163,0.241,0.143,0.276,0.181,0.271,0.206,0.21,0.059,0.56,0.074,0.235,0.12
LogReg_Antiberty,0.1,random_split,0.815,0.014,0.482,0.039,0.581,0.03,0.487,0.026,0.72,0.036,0.401,0.028,0.778,0.022,0.706,0.034
kSVC_Antiberty,0.1,random_split,0.803,0.007,0.202,0.018,0.294,0.025,0.41,0.027,0.231,0.031,0.231,0.007,0.579,0.01,0.29,0.03
RF_Antiberty,0.1,levenshtein_sequence_based,0.839,0.038,0.086,0.076,0.031,0.031,0.6,0.49,0.016,0.016,0.177,0.045,0.508,0.008,0.319,0.154
GBoost_Antiberty,0.1,levenshtein_sequence_based,0.812,0.048,0.114,0.116,0.143,0.075,0.449,0.256,0.096,0.046,0.192,0.064,0.523,0.031,0.304,0.144
RF_Antiberty,0.1,random_split,0.908,0.005,0.654,0.02,0.669,0.018,0.926,0.022,0.523,0.018,0.57,0.022,0.757,0.01,0.723,0.028
GBoost_Antiberty,0.1,random_split,0.903,0.008,0.637,0.032,0.669,0.026,0.859,0.038,0.548,0.021,0.552,0.033,0.764,0.013,0.714,0.032
