Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
kSVC_3-mer,0.1,random_split,0.939,0.003,0.75,0.012,0.78,0.014,0.864,0.028,0.713,0.037,0.658,0.014,0.846,0.016,0.776,0.017
RF_3-mer,0.1,levenshtein_sequence_based,0.859,0.07,0.038,0.076,0.014,0.029,0.2,0.4,0.007,0.015,0.149,0.06,0.504,0.007,0.307,0.169
GBoost_3-mer,0.1,levenshtein_sequence_based,0.85,0.08,0.081,0.102,0.082,0.085,0.391,0.179,0.052,0.061,0.158,0.062,0.517,0.032,0.323,0.201
RF_3-mer,0.1,random_split,0.946,0.003,0.779,0.014,0.807,0.012,0.875,0.028,0.751,0.026,0.694,0.017,0.866,0.011,0.839,0.022
GBoost_3-mer,0.1,random_split,0.94,0.004,0.755,0.016,0.787,0.015,0.845,0.02,0.738,0.028,0.663,0.019,0.857,0.013,0.799,0.023
LogReg_Antiberty,0.1,levenshtein_sequence_based,0.8,0.077,0.332,0.226,0.422,0.206,0.366,0.189,0.555,0.227,0.296,0.146,0.697,0.126,0.411,0.217
kSVC_Antiberty,0.1,levenshtein_sequence_based,0.801,0.058,0.141,0.165,0.222,0.166,0.259,0.163,0.255,0.206,0.191,0.099,0.575,0.085,0.271,0.139
LogReg_Antiberty,0.1,random_split,0.872,0.013,0.62,0.024,0.671,0.022,0.551,0.031,0.86,0.015,0.495,0.026,0.867,0.009,0.705,0.027
kSVC_Antiberty,0.1,random_split,0.844,0.006,0.335,0.04,0.418,0.041,0.482,0.027,0.371,0.05,0.275,0.025,0.65,0.023,0.366,0.022
RF_Antiberty,0.1,levenshtein_sequence_based,0.867,0.067,0.125,0.153,0.102,0.125,0.334,0.411,0.06,0.074,0.181,0.099,0.529,0.035,0.412,0.225
GBoost_Antiberty,0.1,levenshtein_sequence_based,0.864,0.068,0.117,0.149,0.104,0.142,0.347,0.317,0.066,0.095,0.178,0.1,0.53,0.045,0.364,0.194
RF_Antiberty,0.1,random_split,0.937,0.005,0.738,0.021,0.768,0.02,0.861,0.021,0.695,0.031,0.644,0.025,0.837,0.015,0.807,0.033
GBoost_Antiberty,0.1,random_split,0.939,0.001,0.749,0.006,0.779,0.006,0.861,0.023,0.713,0.023,0.657,0.007,0.846,0.01,0.797,0.03
