Model,group_thresh,train_test_split,accuracy,accuracy_std,MCC,MCC_std,F1,F1_std,precision,precision_std,recall,recall_std,roc_pr,roc_pr_std,roc_auc,roc_auc_std,hardcoded_roc_pr,hardcoded_roc_pr_std
RF_GEX_2000_var_pca,0.05,random_split,0.849,0.0,-0.009,0.013,0.002,0.004,0.05,0.1,0.001,0.002,0.15,0.0,0.5,0.001,0.186,0.01
GBoost_GEX_2000_var_pca,0.05,random_split,0.84,0.005,0.009,0.025,0.032,0.016,0.177,0.073,0.018,0.009,0.151,0.001,0.501,0.004,0.179,0.009
LogReg_3-mer_pca,0.05,levenshtein_sequence_based,0.714,0.037,0.187,0.102,0.33,0.072,0.252,0.053,0.488,0.127,0.205,0.036,0.621,0.065,0.279,0.027
kSVC_3-mer_pca,0.05,levenshtein_sequence_based,0.857,0.028,0.255,0.099,0.274,0.1,0.536,0.101,0.189,0.086,0.228,0.047,0.581,0.042,0.426,0.07
LogReg_3-mer_pca,0.05,random_split,0.725,0.006,0.339,0.006,0.441,0.005,0.317,0.005,0.725,0.012,0.271,0.004,0.725,0.004,0.545,0.028
kSVC_3-mer_pca,0.05,random_split,0.928,0.007,0.698,0.028,0.731,0.021,0.836,0.045,0.651,0.008,0.596,0.032,0.814,0.007,0.725,0.044
RF_3-mer_pca,0.05,levenshtein_sequence_based,0.864,0.026,0.249,0.108,0.18,0.115,0.807,0.128,0.107,0.078,0.222,0.06,0.551,0.038,0.455,0.082
GBoost_3-mer_pca,0.05,levenshtein_sequence_based,0.866,0.021,0.289,0.053,0.244,0.09,0.753,0.078,0.153,0.075,0.237,0.043,0.572,0.034,0.461,0.047
RF_3-mer_pca,0.05,random_split,0.928,0.003,0.689,0.013,0.705,0.011,0.908,0.027,0.576,0.013,0.587,0.015,0.783,0.006,0.772,0.022
GBoost_3-mer_pca,0.05,random_split,0.926,0.003,0.679,0.016,0.7,0.013,0.883,0.028,0.581,0.014,0.575,0.018,0.784,0.007,0.758,0.03
LogReg_GEX_2000_var_3-mer_pca,0.05,levenshtein_sequence_based,0.697,0.015,0.168,0.055,0.317,0.042,0.238,0.031,0.485,0.082,0.194,0.027,0.61,0.038,0.255,0.015
kSVC_GEX_2000_var_3-mer_pca,0.05,levenshtein_sequence_based,0.854,0.031,0.265,0.112,0.303,0.097,0.516,0.143,0.216,0.075,0.237,0.058,0.59,0.041,0.379,0.072
LogReg_GEX_2000_var_3-mer_pca,0.05,random_split,0.711,0.008,0.31,0.025,0.421,0.016,0.3,0.011,0.702,0.038,0.256,0.013,0.707,0.018,0.513,0.015
kSVC_GEX_2000_var_3-mer_pca,0.05,random_split,0.916,0.002,0.643,0.011,0.685,0.011,0.779,0.021,0.611,0.023,0.534,0.012,0.79,0.01,0.693,0.015
RF_GEX_2000_var_3-mer_pca,0.05,levenshtein_sequence_based,0.863,0.026,0.226,0.132,0.157,0.129,0.78,0.213,0.092,0.085,0.216,0.069,0.545,0.042,0.427,0.079
GBoost_GEX_2000_var_3-mer_pca,0.05,levenshtein_sequence_based,0.868,0.025,0.288,0.12,0.232,0.131,0.776,0.126,0.143,0.093,0.245,0.08,0.569,0.047,0.432,0.092
RF_GEX_2000_var_3-mer_pca,0.05,random_split,0.914,0.003,0.618,0.017,0.622,0.015,0.907,0.024,0.473,0.015,0.509,0.018,0.732,0.008,0.738,0.011
GBoost_GEX_2000_var_3-mer_pca,0.05,random_split,0.919,0.005,0.644,0.027,0.659,0.027,0.886,0.026,0.525,0.031,0.537,0.029,0.757,0.015,0.728,0.025
