gene_names,coefficients,valid_p_value,adjusted_p_value
TARDBP,0.13888676693590377,1.4866489169832236e-06,2.3247911410462064e-05
ENO1,0.21963021620512857,1e-10,3.747169811320755e-09
TNFRSF9,-0.11313238280152298,0.004390136517174106,0.024218919786410484
TYMS,-0.15418027356678718,2.3991636759668964e-05,0.00027701971281803814
DHX15,0.11142710580748182,0.00019769681031885566,0.001760654104454024
PDS5A,-0.09661734823901531,0.0029987260954608,0.01777752246443328
CHRNA9,-0.11508575669214366,0.00025388224379294604,0.0021639920007415917
PAICS,0.08216179993025034,0.009632865802071584,0.04533381867989139
DCK,0.19414589833071033,1.1329501916583597e-09,3.308881000931621e-08
AFM,0.3192628006896721,1e-10,3.747169811320755e-09
CDC7,0.16354554588646297,1.188975386064171e-07,2.270485689157157e-06
PEBP1,-0.09104500951617481,0.003980944210471361,0.022333771757051195
RFLNA,0.1239100598618925,6.836118514953214e-06,9.051020913798056e-05
RAN,-0.11091496712593894,0.00622761807111017,0.03204157898762901
CHCHD2,0.3238892732501359,1e-10,3.747169811320755e-09
GALNT17,0.10465737144517315,0.0011446638634405005,0.008118937259974406
RASA4,0.10627459508539623,0.000450718246844099,0.003638725358668214
EIF3B,-0.10003749641185505,0.0007609807244940477,0.005724650450171132
FSCN1,-0.15052327184930264,1.7164014561894071e-06,2.663104134368877e-05
BRCA2,-0.1473860410427577,2.5637652281235245e-06,3.7997296589950145e-05
ASNS,0.0978887994177569,0.0016009248374130966,0.010650238659495291
OSBPL3,0.300306811041225,1e-10,3.747169811320755e-09
CYCS,0.1023871933294879,0.0016213968848929874,0.010733647377991578
HNRNPA2B1,0.11591026975427893,0.003190903431548143,0.01874891779601956
SNX10,0.08527985396246988,0.002949392725165599,0.017537407042451734
HPGDS,0.13877105561515396,1.832822046376938e-06,2.8216934760500763e-05
SERBP1,-0.10920699846589088,0.0004824585013655118,0.0038480425048670937
TACSTD2,-0.15820510653211678,1.9334252912117788e-08,4.5711697956507056e-07
CAPG,0.1400331947603332,1.3715012733390619e-05,0.00016608545907630345
ALMS1,0.08353179780621024,0.005313171089837274,0.028289431057417765
SNRPG,0.12170685896591003,0.0002423785362396227,0.002083825857021172
RUVBL1,0.095133529794578,0.0009491977820889341,0.006879951807403734
MCM2,0.20116758675206983,5.439434403601584e-10,1.6879244883676165e-08
SUCLG2,0.07797108456483492,0.006065982496985976,0.03145441576766096
CHD4,-0.08119437102590872,0.004833672780709513,0.026197201174658808
GAPDH,0.2838671770527707,1e-10,3.747169811320755e-09
CLEC2I,0.13831132183112968,1.1476253876650224e-06,1.8088762062720115e-05
PLBD1,-0.08049934313467455,0.0026711054005575294,0.016272439648795257
WBP11,0.17263728040018675,9.35526336283225e-10,2.815083793724977e-08
CAPRIN2,0.16767251152138765,3.6282167286444574e-06,5.221477118179632e-05
SINHCAF,0.07719666437320884,0.005647705791591638,0.02951669395289735
UBE2S,-0.12521497991970978,0.0002926604718005383,0.0024732923276419958
